label,run_id,wall_s,status
Book1_Prop03,20260721-221925-17295e87,26.28,ok
Book1_Prop03,20260721-231303-567ea705,6.86,ok
Book1_Prop03,20260721-234406-c5a37b64,6.21,ok
Book1_Prop06,20260721-231618-a7a67122,25.88,ok
Book1_Prop06,20260722-003012-c0626395,9.05,ok
Book1_Prop06,20260722-011540-c975f507,8.81,ok
Book1_Prop12,20260721-231618-8465ed69,76.88,ok
Book1_Prop12,20260722-001344-21eea484,12.34,ok
Book1_Prop12,20260722-005123-b71b91c5,12.14,ok
Book1_Prop18,20260721-231618-32b7f9f6,115.99,ok
Book1_Prop18,20260722-002512-978a1f0d,8.82,ok
Book1_Prop18,20260722-005125-3d9bb45a,13.91,ok
Book1_Prop20,20260720-133309-0d986ee2,32.39,ok
Book1_Prop20,20260720-141502-9d5733b4,14.01,ok
Book1_Prop20,20260720-150928-aabdd8cb,28.06,ok
Book1_Prop27,20260721-231618-37a03924,8.44,ok
Book1_Prop27,20260722-000926-8b4456b3,10.53,ok
Book1_Prop27,20260722-005050-abe401f0,8.54,ok
Book1_Prop30,20260720-175026-82c96962,35.14,ok
Book1_Prop30,20260720-183241-470b9f31,15.29,ok
Book1_Prop30,20260720-195658-7f71e75a,13.52,ok
Book1_Prop36,20260720-175026-76138fa1,242.62,ok
Book1_Prop36,20260720-191808-2f65ff60,12.73,ok
Book1_Prop36,20260722-111741-2c7a7384,10.90,ok
Book1_Prop45,20260720-175026-5753a172,169.47,ok
Book1_Prop45,20260722-111634-3f005a60,13.69,ok
Book1_Prop45,20260722-141619-3d4c8788,16.94,ok
Book2_Prop03,20260722-114628-abe95ce0,23.05,ok
Book2_Prop03,20260722-140109-681d4b84,10.37,ok
Book2_Prop03,20260722-151424-0f5e3574,18.80,ok
Book2_Prop12,20260722-114628-9a040e08,69.84,ok
Book2_Prop12,20260722-124334-c0449664,35.89,ok
Book2_Prop12,20260722-134822-01fa8c96,11.33,ok
Book3_Prop06,20260722-114914-87a30db6,6.61,ok
Book3_Prop06,20260722-124136-b18981f0,6.98,ok
Book3_Prop06,20260722-133821-5636700d,6.57,ok
Book3_Prop11,20260722-114914-7c3bf53a,13.35,ok
Book3_Prop11,20260722-135250-1a554c88,15.06,ok
Book3_Prop11,20260722-150227-77754a03,9.50,ok
Book3_Prop25,20260722-114914-3fbefacb,38.83,ok
Book3_Prop25,20260722-163637-8fc9b0ac,20.84,ok
Book3_Prop25,20260722-190620-e45f8b26,18.75,ok
Book3_Prop36,20260722-114914-f7c81e6c,59.24,ok
Book3_Prop36,20260722-152107-8c876bd1,33.63,ok
Book3_Prop36,20260722-191223-95f95271,31.14,ok
