label,run_id,wall_s,status
Book1_Prop03,20260721-221925-17295e87,7.32,ok
Book1_Prop03,20260721-231303-567ea705,6.49,ok
Book1_Prop03,20260721-234406-c5a37b64,8.68,ok
Book1_Prop06,20260721-231618-a7a67122,11.90,ok
Book1_Prop06,20260722-003012-c0626395,9.97,ok
Book1_Prop06,20260722-011540-c975f507,8.83,ok
Book1_Prop12,20260721-231618-8465ed69,18.73,ok
Book1_Prop12,20260722-001344-21eea484,18.79,ok
Book1_Prop12,20260722-005123-b71b91c5,18.28,ok
Book1_Prop18,20260721-231618-32b7f9f6,13.37,ok
Book1_Prop18,20260722-002512-978a1f0d,8.62,ok
Book1_Prop18,20260722-005125-3d9bb45a,8.24,ok
Book1_Prop20,20260720-133309-0d986ee2,16.59,ok
Book1_Prop20,20260720-141502-9d5733b4,19.61,ok
Book1_Prop20,20260720-150928-aabdd8cb,30.52,ok
Book1_Prop27,20260721-231618-37a03924,8.28,ok
Book1_Prop27,20260722-000926-8b4456b3,12.06,ok
Book1_Prop27,20260722-005050-abe401f0,8.06,ok
Book1_Prop30,20260720-175026-82c96962,9.85,ok
Book1_Prop30,20260720-183241-470b9f31,19.92,ok
Book1_Prop30,20260720-195658-7f71e75a,9.97,ok
Book1_Prop36,20260720-175026-76138fa1,12.58,ok
Book1_Prop36,20260720-191808-2f65ff60,12.22,ok
Book1_Prop36,20260722-111741-2c7a7384,10.24,ok
Book1_Prop45,20260720-175026-5753a172,18.92,ok
Book1_Prop45,20260722-111634-3f005a60,14.16,ok
Book1_Prop45,20260722-141619-3d4c8788,14.88,ok
Book2_Prop03,20260722-114628-abe95ce0,11.34,ok
Book2_Prop03,20260722-140109-681d4b84,14.67,ok
Book2_Prop03,20260722-151424-0f5e3574,12.67,ok
Book2_Prop12,20260722-114628-9a040e08,10.25,ok
Book2_Prop12,20260722-124334-c0449664,35.67,ok
Book2_Prop12,20260722-134822-01fa8c96,9.67,ok
Book3_Prop06,20260722-114914-87a30db6,6.84,ok
Book3_Prop06,20260722-124136-b18981f0,6.85,ok
Book3_Prop06,20260722-133821-5636700d,7.96,ok
Book3_Prop11,20260722-114914-7c3bf53a,12.23,ok
Book3_Prop11,20260722-135250-1a554c88,15.67,ok
Book3_Prop11,20260722-150227-77754a03,9.60,ok
Book3_Prop25,20260722-114914-3fbefacb,23.62,ok
Book3_Prop25,20260722-163637-8fc9b0ac,22.08,ok
Book3_Prop25,20260722-190620-e45f8b26,19.73,ok
Book3_Prop36,20260722-114914-f7c81e6c,20.29,ok
Book3_Prop36,20260722-152107-8c876bd1,28.86,ok
Book3_Prop36,20260722-191223-95f95271,32.41,ok
