label,run_id,wall_s,status
Book1_Prop03,20260719-193910-fab15842,6.77,ok
Book1_Prop03,20260719-194334-95d75e25,7.02,ok
Book1_Prop03,20260719-194714-c7332038,6.83,ok
Book1_Prop06,20260719-193910-deed27fd,10.84,ok
Book1_Prop06,20260719-195213-a92accb8,10.61,ok
Book1_Prop06,20260720-012015-419d0e98,10.63,ok
Book1_Prop12,20260719-193910-80d83b18,11.01,ok
Book1_Prop12,20260719-194927-a2ebf3b2,11.77,ok
Book1_Prop12,20260719-200109-fdab2876,11.34,ok
Book1_Prop18,20260719-193910-05682b81,8.35,ok
Book1_Prop18,20260720-055447-eef39810,8.36,ok
Book1_Prop18,20260720-214658-df632635,7.80,ok
Book1_Prop20,20260719-193910-f8f2bbe9,nan,TIMEOUT
Book1_Prop20,20260721-013820-a57f9cde,nan,TIMEOUT
Book1_Prop20,20260721-133823-2e31943b,nan,TIMEOUT
Book1_Prop27,20260719-193910-606bc345,9.85,ok
Book1_Prop27,20260721-013820-b0b0254d,nan,TIMEOUT
Book1_Prop27,20260721-133823-d9e2a5d6,nan,TIMEOUT
Book1_Prop30,20260719-193910-60a4a438,nan,TIMEOUT
Book1_Prop30,20260721-013820-05c9e12d,nan,TIMEOUT
Book1_Prop30,20260721-133823-cab7ed0b,nan,TIMEOUT
Book1_Prop36,20260719-202957-1c91c336,nan,TIMEOUT
Book1_Prop36,20260721-013820-60378f39,nan,TIMEOUT
Book1_Prop36,20260721-143451-e93921f9,nan,TIMEOUT
Book1_Prop45,20260719-195055-dca78a05,nan,TIMEOUT
Book1_Prop45,20260721-013820-2639fd12,nan,TIMEOUT
Book1_Prop45,20260721-133823-4a87e65d,nan,TIMEOUT
Book2_Prop03,20260722-114000-c8e025e6,nan,TIMEOUT
Book2_Prop03,20260723-003727-6456a332,nan,TIMEOUT
Book2_Prop03,20260723-123735-3466f9ad,nan,TIMEOUT
Book2_Prop12,20260722-114000-45233fb6,nan,TIMEOUT
Book2_Prop12,20260723-003727-2685c3d3,nan,TIMEOUT
Book2_Prop12,20260723-123735-ea6958e4,nan,TIMEOUT
Book3_Prop06,20260722-114102-dcdb22a2,14.27,ok
Book3_Prop06,20260722-115024-1829651c,6.81,ok
Book3_Prop06,20260722-115905-d71c8dcf,6.97,ok
Book3_Prop11,20260722-114102-090fa026,nan,TIMEOUT
Book3_Prop11,20260723-003627-e071548b,nan,TIMEOUT
Book3_Prop11,20260723-123631-44c82e82,nan,TIMEOUT
Book3_Prop25,20260722-114102-4c9a2f03,nan,TIMEOUT
Book3_Prop25,20260723-003627-71609e6c,nan,TIMEOUT
Book3_Prop25,20260723-123631-b2a35c31,nan,TIMEOUT
Book3_Prop36,20260722-114102-7b3a2968,nan,TIMEOUT
Book3_Prop36,20260723-003627-a7e57750,nan,TIMEOUT
Book3_Prop36,20260723-123634-b845d331,nan,TIMEOUT
