prop, method, genuine, done, asked, gave_up, goal, human, ended, wait, other
1.1 , naive ,       1,    1,     0,       0,    0,     0,     1,    0,     0
1.1 , mine  ,       2,    2,     0,       0,    0,     1,     1,   11,     0
1.26, naive ,       1,    1,     0,       0,    0,     0,     1,    0,     0
1.26, mine  ,       1,    1,     0,       0,    0,     0,     1,   14,     0
1.43, naive ,       0,    0,     0,       0,    0,     0,     0,    0,     1
1.43, mine  ,       0,    0,     0,       0,    0,     0,     0,    6,     1
1.47, naive ,       6,    0,     0,       6,    5,     0,     1,    0,     0
1.47, mine  ,       2,    1,     1,       0,    0,     1,     1,    6,     0
3.33, naive ,       1,    0,     0,       1,    0,     0,     1,    5,     0
3.33, mine  ,       1,    1,     0,       0,    0,     0,     1,   33,     0
